StudentId,FirstName,LastName,DateOfBirth,Gender,CurrentAddress,PermanentAddress,EmailId,ContactNumber,CollegeName,EnrollmentDate,College_id,Course_id,CreatedDate,UpdateDate,MiddleName,AlternateNumber,EnrollmentNumber
6207,Laura,Wright,2004-11-01 22:35:35,Female,"445 Love Divide South Anthonyburgh, NE 11156","445 Love Divide South Anthonyburgh, NE 11156",saundersmonica@yahoo.com,2881484565,symbiosis institute of technology,2022-04-06,204,363,2023-01-04 13:08:55.690511,2023-01-04 13:08:55.773068,,,
7493,Shannon,Garza,2004-09-23 08:42:26,Male,"781 Brooks Causeway Michaelfort, IN 54042","781 Brooks Causeway Michaelfort, IN 54042",leonard06@gmail.com,9241711889,symbiosis institute of technology,2022-06-26,204,318,2023-01-04 13:08:55.669209,2023-01-04 13:08:55.388919,,,
6043,Jennifer,Williams,2004-09-17 03:02:01,Female,"7109 Joshua Ports Torreshaven, NJ 38817","7109 Joshua Ports Torreshaven, NJ 38817",greenlori@gmail.com,6389470527,symbiosis institute of technology,2022-05-10,204,288,2023-01-04 13:08:55.526953,2023-01-04 13:08:55.948901,,,
8885,Dana,Brown,2004-02-28 09:53:59,Female,"907 Benjamin Dam Port Geraldville, PA 41536","907 Benjamin Dam Port Geraldville, PA 41536",emily38@hotmail.com,3948282369,symbiosis institute of technology,2022-04-02,204,363,2023-01-04 13:08:55.392841,2023-01-04 13:08:55.505865,,,
7918,Jose,Duran,2005-02-21 13:36:01,Male,"29237 Palmer Run Juliafurt, VI 80769","29237 Palmer Run Juliafurt, VI 80769",pruittdarrell@gmail.com,5048210316,symbiosis institute of technology,2022-05-13,204,217,2023-01-04 13:08:55.979489,2023-01-04 13:08:55.641828,,,
7491,Brian,Miller,2004-01-09 04:42:04,Male,"860 Ricky Mall Michaelburgh, OK 62821","860 Ricky Mall Michaelburgh, OK 62821",zfranklin@yahoo.com,3173423930,symbiosis institute of technology,2022-05-04,204,288,2023-01-04 13:08:55.181059,2023-01-04 13:08:55.316521,,,
7657,George,Abbott,2004-01-23 06:18:09,Male,"50661 Jason Oval Apt. 140 Port Nicholas, TN 89532","50661 Jason Oval Apt. 140 Port Nicholas, TN 89532",upittman@gmail.com,5944418998,symbiosis institute of technology,2022-06-08,204,281,2023-01-04 13:08:55.901971,2023-01-04 13:08:55.692497,,,
8450,Eric,Miller,2005-03-14 06:19:39,Male,"PSC 0001, Box 3994 APO AP 97343","PSC 0001, Box 3994 APO AP 97343",melissaferguson@yahoo.com,8305313982,symbiosis institute of technology,2022-05-20,204,281,2023-01-04 13:08:55.488338,2023-01-04 13:08:55.729278,,,
8962,Alexandra,Black,2005-03-20 02:03:39,Female,"5856 Brittney Hollow Apt. 929 Jennifertown, MD 58006","5856 Brittney Hollow Apt. 929 Jennifertown, MD 58006",chill@yahoo.com,4591580330,symbiosis institute of technology,2022-06-21,204,247,2023-01-04 13:08:55.884486,2023-01-04 13:08:55.153783,,,
7054,Vanessa,Miller,2004-09-14 04:37:25,Female,USS Walker FPO AA 81729,USS Walker FPO AA 81729,hodgesleah@gmail.com,9178766116,symbiosis institute of technology,2022-04-08,204,217,2023-01-04 13:08:55.461538,2023-01-04 13:08:55.892343,,,
7950,Brian,Wallace,2004-05-20 18:06:10,Male,"3923 Heather Inlet Evanton, NV 20076","3923 Heather Inlet Evanton, NV 20076",anthony03@gmail.com,2764456625,symbiosis institute of technology,2022-04-07,204,281,2023-01-04 13:08:55.642581,2023-01-04 13:08:55.249108,,,
6116,Jamie,Mcdonald,2004-02-15 03:41:09,Female,"2898 Sawyer Freeway East Susan, TN 65486","2898 Sawyer Freeway East Susan, TN 65486",scottmitchell@hotmail.com,9839016624,symbiosis institute of technology,2022-06-24,204,217,2023-01-04 13:08:55.704230,2023-01-04 13:08:55.561362,,,
6104,Rebecca,Coleman,2005-03-03 05:57:13,Female,"9343 Patterson Rest Brookemouth, MO 23078","9343 Patterson Rest Brookemouth, MO 23078",pmorgan@yahoo.com,9567242113,symbiosis institute of technology,2022-03-30,204,318,2023-01-04 13:08:55.938888,2023-01-04 13:08:55.430842,,,
